filename,time(s),input size(Mb),output size(Mb)
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u014_l.tsv,144.113883974,121.0,18.472681045532227
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u021_l.tsv,68.65690422,79.14453125,10.510488510131836
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u038_h.tsv,73.083707714,100.38671875,14.972599029541016
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u027_h.tsv,87.636456922,117.28515625,18.46177387237549
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u066_l.tsv,70.047715477,90.328125,13.137869834899902
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u043_h.tsv,96.445807626,107.9609375,16.147618293762207
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u059_l.tsv,93.693840609,101.640625,15.446365356445312
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u077_h.tsv,83.467329147,80.3828125,10.92609691619873
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u070_h.tsv,105.096673265,83.125,11.258517265319824
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u047_h.tsv,124.340566852,113.01171875,17.56250286102295
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u064_l.tsv,137.081386063,115.234375,17.979052543640137
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u067_h.tsv,142.599237351,111.3359375,16.960336685180664
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u112_l.tsv,115.221903517,86.61328125,12.4266996383667
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u104_l.tsv,125.606260729,93.21484375,13.628833770751953
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u128_h.tsv,134.777405013,95.65625,14.268037796020508
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u003_h.tsv,131.609010407,92.37890625,12.169873237609863
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u011_h.tsv,140.58745896,98.421875,14.631869316101074
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u060_l.tsv,179.460796131,124.24609375,19.430370330810547
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u107_l.tsv,155.420128181,107.5078125,16.710469245910645
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u017_h.tsv,133.784553406,98.1171875,14.67115306854248
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u120_l.tsv,163.965634075,113.671875,17.512572288513184
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u035_l.tsv,127.284448469,96.53125,14.688934326171875
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u099_h.tsv,182.271154421,124.984375,19.497355461120605
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u027_h.tsv,145.262333786,109.8515625,17.247516632080078
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u129_l.tsv,172.184366467,123.80078125,19.90276336669922
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u038_h.tsv,115.900179052,96.91796875,14.733333587646484
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u036_l.tsv,132.557031547,116.7734375,18.248620986938477
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u039_h.tsv,124.078978098,115.33984375,18.205791473388672
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u047_h.tsv,112.152353764,108.36328125,16.620037078857422
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u054_l.tsv,110.167853498,106.328125,16.22896385192871
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u056_l.tsv,106.892937553,114.81640625,17.90495777130127
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u059_l.tsv,95.259481813,107.890625,16.820058822631836
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u061_h.tsv,95.513412501,109.51953125,16.924928665161133
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u063_l.tsv,95.958822713,114.5078125,18.035167694091797
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u064_l.tsv,84.189498815,105.08984375,16.275721549987793
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u070_h.tsv,78.710643675,94.96484375,13.9164457321167
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u077_h.tsv,78.851773359,93.49609375,13.50575065612793
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u065_l.tsv,103.172284102,121.61328125,19.292365074157715
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u068_l.tsv,98.483212266,116.90234375,18.551742553710938
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u094_l.tsv,115.994604393,112.125,17.773807525634766
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u110_l.tsv,120.616457324,109.28515625,17.27239990234375
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u120_l.tsv,135.762297728,110.546875,17.664450645446777
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u128_h.tsv,135.722476612,106.03515625,16.715712547302246
b1-02-02-2024_rd168_efa_231108_inj1-200spd_ccri-95_u099_h.tsv,154.804690757,126.37109375,19.839674949645996
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u040_l.tsv,114.771662761,89.10546875,13.06900405883789
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u004_l.tsv,149.651554974,103.92578125,16.305877685546875
b1-02-02-2024_rd168_hela_20240202_batch1d_200spd.tsv,210.108590999,129.19921875,21.414825439453125
b1-02-02-2024_rd168_hela_20240202_batch1f_200spd.tsv,221.178311756,129.2578125,21.29585361480713
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u022_l.tsv,190.241844884,105.7734375,16.296377182006836
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u074_h.tsv,165.456843332,94.5234375,14.265374183654785
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u052_h.tsv,189.912121017,103.60546875,16.225539207458496
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u016_h.tsv,222.753768448,116.42578125,18.34776496887207
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u013_l.tsv,234.98264442,121.32421875,18.56536865234375
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u002_l.tsv,246.217127207,127.1015625,20.495365142822266
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u066_h.tsv,204.370528291,110.5859375,17.40329933166504
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u049_l.tsv,223.783183465,116.3359375,18.04473304748535
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u046_h.tsv,232.465116571,115.91796875,18.293238639831543
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u088_l.tsv,160.283246734,101.24609375,15.61310863494873
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u081_h.tsv,205.297771269,117.06640625,18.04275417327881
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u084_h.tsv,178.529727593,113.16796875,17.760550498962402
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u060_h.tsv,227.586378877,125.7890625,19.81562614440918
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u115_h.tsv,132.27295143,103.02734375,16.31515121459961
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u111_l.tsv,152.420921967,109.734375,16.928621292114258
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u092_h.tsv,160.986599226,118.44921875,18.645435333251953
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u114_l.tsv,153.425351211,124.05078125,19.477767944335938
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u116_h.tsv,121.27358416,110.95703125,17.554285049438477
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u121_l.tsv,89.467117575,105.51171875,16.423937797546387
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u118_h.tsv,104.045122299,118.10546875,18.74147891998291
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u123_l.tsv,101.406078926,121.5234375,18.974332809448242
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u017_l.tsv,82.416836285,97.07421875,14.793102264404297
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u011_h.tsv,94.137478629,110.4453125,17.15481948852539
b1-02-02-2024_rd168_kpn_230726_inj1-200spd_ccri-563_u124_l.tsv,100.677071836,119.69921875,18.833609580993652
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u035_l.tsv,82.217996481,90.546875,13.243910789489746
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u027_l.tsv,98.246729535,103.0,16.23300266265869
b1-02-02-2024_rd168_pae_231026_inj1-200spd_ccri-961_u038_h.tsv,110.976446697,103.23828125,15.798591613769531
