filename,time(s),input size(Mb),output size(Mb)
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u014.tsv,34.375888821,56.65234375,3.581907272338867
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u095.tsv,39.910660224,57.83203125,3.981454849243164
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u043.tsv,56.203160827,62.7421875,4.681450843811035
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u042.tsv,48.853867514,55.046875,3.477023124694824
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u055.tsv,71.240850757,58.53125,3.977168083190918
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u104.tsv,85.369249564,67.7265625,5.259206771850586
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u037.tsv,83.613227492,61.8359375,4.515406608581543
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u097.tsv,94.098867728,69.47265625,5.509296417236328
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u112.tsv,109.167538175,72.71875,5.995208740234375
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u008.tsv,113.203773175,73.98046875,6.172873497009277
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u007.tsv,110.169790027,73.1640625,5.821471214294434
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u090.tsv,113.550848232,72.859375,5.829402923583984
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u048.tsv,121.605926962,73.84765625,6.147205352783203
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u122.tsv,85.147133405,62.50390625,4.708800315856934
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u108.tsv,114.095001029,72.91015625,5.853204727172852
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u003.tsv,131.852954553,87.4921875,7.678727149963379
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u073.tsv,132.550061305,83.4296875,7.324706077575684
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u082.tsv,133.622018366,77.5390625,6.563327789306641
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u010.tsv,126.091223801,83.765625,7.491546630859375
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u127.tsv,96.239366188,75.63671875,6.583583831787109
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u057.tsv,130.787797588,89.8125,8.111775398254395
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u131.tsv,78.535340569,70.8515625,5.813119888305664
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u119.tsv,143.729902677,98.72265625,8.751864433288574
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u129.tsv,90.95002208,95.57421875,8.708229064941406
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u003_h.tsv,68.978947633,88.6171875,6.890342712402344
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u011_h.tsv,74.060440082,115.48046875,10.313920974731445
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u017_h.tsv,70.499874,111.15625,9.9423828125
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u027_h.tsv,77.361848246,119.546875,10.5400972366333
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u035_l.tsv,65.533920543,99.84375,9.157795906066895
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u036_l.tsv,96.36409556,119.08203125,10.464178085327148
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u038_h.tsv,99.491236108,105.02734375,9.351194381713867
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u054_l.tsv,120.261022617,106.56640625,9.59387493133545
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u039_h.tsv,135.835587381,115.4453125,10.07779598236084
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u047_h.tsv,170.871752739,118.109375,10.334820747375488
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u003_h.tsv,130.051784817,80.75390625,6.003006935119629
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u077_h.tsv,172.592502334,101.54296875,9.37181568145752
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u063_l.tsv,181.289913758,111.5078125,10.014662742614746
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u059_l.tsv,187.767528538,113.29296875,10.10434341430664
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u061_h.tsv,189.146334944,114.04296875,10.176074981689453
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u064_l.tsv,189.513325451,111.17578125,10.04398250579834
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u009_l.tsv,109.391830697,75.4609375,6.231485366821289
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u056_l.tsv,197.134789211,119.984375,10.498784065246582
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u070_h.tsv,183.79530864,100.84375,9.059488296508789
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u065_l.tsv,198.590561187,114.78125,10.107542991638184
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u094_l.tsv,193.641407062,113.57421875,10.086504936218262
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u068_l.tsv,207.21240529,121.671875,10.821925163269043
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u120_l.tsv,180.539859206,112.2734375,10.04006290435791
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u128_h.tsv,176.375177745,115.80859375,10.267301559448242
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u110_l.tsv,187.882944649,113.73828125,10.077557563781738
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u099_h.tsv,200.993874094,127.25390625,11.055549621582031
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u011_h.tsv,137.092221909,116.5390625,10.046459197998047
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u021_l.tsv,61.916491853,79.14453125,6.312473297119141
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u017_h.tsv,99.470377571,106.6015625,9.205403327941895
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u014_l.tsv,112.643558487,121.0,10.214590072631836
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u038_h.tsv,73.046061139,100.38671875,8.43582534790039
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u066_l.tsv,89.505312112,90.328125,7.681127548217773
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u027_h.tsv,115.869236237,117.28515625,10.170304298400879
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u043_h.tsv,116.191838082,107.9609375,9.014485359191895
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u077_h.tsv,98.664466774,80.3828125,6.614702224731445
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u059_l.tsv,126.187641332,101.640625,8.824110984802246
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u112_l.tsv,121.363697907,86.61328125,7.493202209472656
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u047_h.tsv,155.640138066,113.01171875,9.762763977050781
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u104_l.tsv,131.73321737,93.21484375,7.924172401428223
b1-02-02-2024_rd168_eco_230802_inj1-200spd_ccri-12923_u070_h.tsv,144.343222249,83.125,6.711273193359375
