filename,time(s),input size(Mb),output size(Mb)
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u042.tsv,62.647811533,55.046875,1.2381219863891602
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u014.tsv,64.979505146,56.65234375,1.2579584121704102
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u055.tsv,66.733753376,58.53125,1.349614143371582
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u095.tsv,66.92199392,57.83203125,1.3661346435546875
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u037.tsv,72.354710126,61.8359375,1.532968521118164
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u043.tsv,73.542808724,62.7421875,1.5840492248535156
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u104.tsv,80.157657444,67.7265625,1.7066421508789062
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u097.tsv,81.889753225,69.47265625,1.7186384201049805
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u008.tsv,84.934105946,73.98046875,1.9573392868041992
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u108.tsv,85.615062994,72.91015625,1.8400793075561523
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u112.tsv,85.518548254,72.71875,1.8934926986694336
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u090.tsv,85.750702494,72.859375,1.7731332778930664
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u007.tsv,86.155130426,73.1640625,1.710113525390625
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u048.tsv,86.522270803,73.84765625,1.9088134765625
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u082.tsv,90.033491082,77.5390625,1.9537382125854492
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u073.tsv,94.714321851,83.4296875,2.1446123123168945
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u010.tsv,94.968977458,83.765625,2.138164520263672
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u003.tsv,97.052579472,87.4921875,2.1732873916625977
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u057.tsv,98.134505222,89.8125,2.174100875854492
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u119.tsv,102.191055417,98.72265625,2.243830680847168
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u122.tsv,38.170678451,62.50390625,1.5692358016967773
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u127.tsv,40.751596005,75.63671875,2.0144405364990234
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u131.tsv,43.050180391,70.8515625,1.8760261535644531
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u129.tsv,59.285157911,95.57421875,2.25762939453125
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u003_h.tsv,57.172969499,88.6171875,1.936605453491211
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u035_l.tsv,80.293627255,99.84375,2.389463424682617
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u011_h.tsv,136.079421695,115.48046875,2.5231189727783203
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u054_l.tsv,145.283142975,106.56640625,2.438900947570801
