filename,time(s),input size(Mb),output size(Mb)
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u042.tsv,34.17961571,55.046875,1.958120346069336
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u014.tsv,38.673885359,56.65234375,2.0079212188720703
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u095.tsv,43.303705178,57.83203125,2.1969871520996094
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u037.tsv,55.693476292,61.8359375,2.4750185012817383
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u055.tsv,60.951256344,58.53125,2.1795883178710938
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u043.tsv,85.64566532,62.7421875,2.5750913619995117
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u104.tsv,95.146569694,67.7265625,2.7854366302490234
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u007.tsv,103.722078485,73.1640625,2.941804885864258
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u090.tsv,106.377893533,72.859375,3.0148773193359375
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u097.tsv,108.248351497,69.47265625,2.897563934326172
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u108.tsv,115.755622014,72.91015625,3.053746223449707
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u112.tsv,117.016463433,72.71875,3.1420974731445312
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u008.tsv,117.757165504,73.98046875,3.2489356994628906
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u122.tsv,87.2722778,62.50390625,2.545988082885742
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u048.tsv,126.67050629,73.84765625,3.2034873962402344
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u073.tsv,133.544934257,83.4296875,3.709181785583496
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u082.tsv,135.92507891,77.5390625,3.327664375305176
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u010.tsv,132.726223334,83.765625,3.743267059326172
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u003.tsv,134.162282887,87.4921875,3.814828872680664
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u127.tsv,98.518148762,75.63671875,3.41922664642334
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u057.tsv,142.208673487,89.8125,3.8869171142578125
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u131.tsv,83.568922138,70.8515625,3.0946311950683594
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u119.tsv,142.769693349,98.72265625,4.081925392150879
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u129.tsv,102.644413738,95.57421875,4.075889587402344
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u003_h.tsv,81.156092527,88.6171875,3.360719680786133
