step	acc_train
0	0.7103569338794616
1	0.7077922077922078
2	0.7268436578171091
3	0.7184769038701623
4	0.7345409119300437
5	0.7087264150943396
6	0.7131919905771495
7	0.7031802120141343
8	0.7082352941176471
9	0.7173144876325088
10	0.7188422917897224
11	0.7380530973451327
12	0.7224513847967
13	0.7209162145871006
14	0.7451093210586881
15	0.7115707098937955
