step	mcc_train
0	0.6913583828182133
1	0.6887421443822733
2	0.7090029111428744
3	0.6997453823626935
4	0.716998119144228
5	0.6898085533410805
6	0.6944096709725637
7	0.6837670240796824
8	0.6892169026544304
9	0.6985063721790873
10	0.7003166563260627
11	0.7207923388198028
12	0.7039529333499571
13	0.7024011800664876
14	0.7281746733662467
15	0.6921770067305913
